step,time,#people,temp_out
0,08:00,19,-2.9
1,08:05,19,-2.3
2,08:10,19,-2.8
3,08:15,19,-2.5
4,08:20,19,-2.8
5,08:25,25,-2.4
6,08:30,25,-2.8
7,08:35,25,-2.5
8,08:40,25,-2.1
9,08:45,25,-2.0
10,08:50,25,-1.8
11,08:55,25,-2.3
12,09:00,25,-1.7
13,09:05,8,-2.0
14,09:10,8,-1.9
15,09:15,8,-3.1
16,09:20,8,-3.8
17,09:25,8,-3.9
18,09:30,48,-4.7
19,09:35,48,-4.5
20,09:40,48,-4.2
21,09:45,48,-3.9
22,09:50,48,-2.3
23,09:55,48,-2.0
24,10:00,25,-1.9
25,10:05,25,-2.3
26,10:10,25,-2.7
27,10:15,25,-1.8
28,10:20,25,-2.0
29,10:25,25,-2.3
30,10:30,25,-2.3
31,10:35,6,-2.1
32,10:40,6,-2.4
33,10:45,6,-2.0
34,10:50,4,-3.2
35,10:55,4,-2.8
36,11:00,42,-2.8
37,11:05,42,-3.0
38,11:10,42,-3.5
39,11:15,42,-3.7
40,11:20,42,-4.8
41,11:25,42,-4.6
42,11:30,42,-4.1
43,11:35,34,-4.3
44,11:40,34,-3.6
45,11:45,34,-4.0
46,11:50,34,-4.5
47,11:55,34,-3.6
48,12:00,34,-2.8
49,12:05,34,-3.3
50,12:10,34,-4.3
51,12:15,20,-4.0
52,12:20,20,-4.4
53,12:25,20,-4.5
54,12:30,20,-4.5
55,12:35,24,-3.6
56,12:40,24,-3.6
57,12:45,24,-3.7
58,12:50,24,-3.6
59,12:55,37,-3.5
60,13:00,37,-4.4
61,13:05,28,-4.4
62,13:10,28,-4.9
63,13:15,28,-4.8
64,13:20,28,-4.4
65,13:25,28,-4.4
66,13:30,28,-3.7
67,13:35,12,-3.1
68,13:40,12,-3.1
69,13:45,12,-3.2
70,13:50,12,-2.8
71,13:55,12,-2.7
72,14:00,12,-2.6
73,14:05,12,-2.5
74,14:10,22,-2.0
75,14:15,22,-1.8
76,14:20,22,-0.4
77,14:25,22,-0.5
78,14:30,22,0.1
79,14:35,22,0.6
80,14:40,22,1.2
81,14:45,22,0.6
82,14:50,39,1.3
83,14:55,39,2.3
84,15:00,39,2.0
85,15:05,39,2.0
86,15:10,39,2.5
87,15:15,39,1.4
88,15:20,39,1.6
89,15:25,39,1.6
90,15:30,1,1.7
91,15:35,1,1.5
92,15:40,45,2.6
93,15:45,45,1.6
94,15:50,45,1.4
95,15:55,45,1.3
96,16:00,45,0.5
97,16:05,45,0.6
98,16:10,45,0.7
99,16:15,45,1.1
100,16:20,45,1.3
101,16:25,9,1.5
102,16:30,9,2.0
103,16:35,9,2.1
104,16:40,9,2.2
105,16:45,9,2.1
106,16:50,9,1.5
107,16:55,9,1.3
108,17:00,9,1.5
109,17:05,9,1.0
110,17:10,9,0.4
111,17:15,17,-1.4
112,17:20,17,-1.7
113,17:25,17,-1.5
114,17:30,17,-1.8
115,17:35,43,-1.8
116,17:40,43,-1.9
117,17:45,43,-2.8
118,17:50,43,-2.5
119,17:55,43,-2.7
120,18:00,6,-2.3
