step,time,#people,temp_out
0,08:00,44,8.5
1,08:05,42,8.7
2,08:10,42,8.7
3,08:15,42,8.9
4,08:20,42,8.7
5,08:25,42,9.4
6,08:30,42,9.5
7,08:35,42,9.0
8,08:40,42,9.3
9,08:45,2,9.3
10,08:50,2,9.2
11,08:55,2,9.6
12,09:00,2,10.4
13,09:05,16,10.4
14,09:10,16,10.1
15,09:15,16,10.0
16,09:20,16,10.2
17,09:25,16,9.7
18,09:30,3,9.6
19,09:35,3,9.1
20,09:40,3,8.8
21,09:45,3,8.5
22,09:50,3,9.1
23,09:55,3,10.2
24,10:00,3,9.7
25,10:05,3,9.4
26,10:10,3,9.5
27,10:15,3,9.7
28,10:20,7,9.5
29,10:25,7,9.1
30,10:30,7,8.2
31,10:35,7,7.2
32,10:40,4,6.9
33,10:45,4,7.7
34,10:50,25,8.0
35,10:55,25,8.2
36,11:00,25,7.9
37,11:05,25,8.4
38,11:10,25,7.8
39,11:15,25,8.1
40,11:20,25,8.4
41,11:25,25,9.0
42,11:30,25,9.3
43,11:35,25,9.2
44,11:40,25,9.2
45,11:45,25,9.3
46,11:50,25,8.7
47,11:55,25,9.3
48,12:00,25,9.9
49,12:05,25,10.2
50,12:10,22,11.1
51,12:15,22,11.0
52,12:20,22,11.0
53,12:25,15,10.7
54,12:30,15,10.4
55,12:35,15,10.9
56,12:40,15,11.1
57,12:45,15,11.1
58,12:50,15,11.3
59,12:55,15,10.6
60,13:00,15,9.8
61,13:05,15,10.0
62,13:10,23,10.5
63,13:15,23,11.0
64,13:20,23,10.9
65,13:25,23,10.5
66,13:30,23,9.8
67,13:35,47,9.0
68,13:40,47,8.9
69,13:45,47,9.7
70,13:50,5,9.1
71,13:55,5,8.3
72,14:00,5,8.1
73,14:05,5,8.0
74,14:10,5,8.2
75,14:15,17,8.3
76,14:20,17,8.2
77,14:25,17,7.7
78,14:30,17,7.3
79,14:35,31,7.7
80,14:40,31,7.0
81,14:45,31,7.2
82,14:50,31,7.1
83,14:55,31,7.2
84,15:00,31,7.1
85,15:05,31,6.9
86,15:10,31,6.2
87,15:15,46,6.7
88,15:20,46,6.2
89,15:25,46,5.9
90,15:30,46,5.7
91,15:35,46,5.7
92,15:40,46,5.8
93,15:45,46,5.7
94,15:50,46,5.8
95,15:55,46,6.1
96,16:00,9,6.5
97,16:05,9,6.5
98,16:10,9,6.6
99,16:15,9,6.1
100,16:20,9,5.3
101,16:25,9,5.0
102,16:30,9,4.0
103,16:35,9,4.0
104,16:40,9,3.8
105,16:45,30,3.0
106,16:50,30,3.6
107,16:55,28,3.7
108,17:00,28,3.9
109,17:05,28,3.9
110,17:10,28,4.6
111,17:15,28,5.6
112,17:20,34,6.0
113,17:25,34,6.2
114,17:30,34,6.4
115,17:35,34,6.5
116,17:40,34,7.4
117,17:45,34,7.9
118,17:50,7,8.5
119,17:55,7,8.9
120,18:00,7,8.8
