step,time,#people,temp_out
0,08:00,36,19.1
1,08:05,36,20.3
2,08:10,36,19.7
3,08:15,36,18.8
4,08:20,36,18.2
5,08:25,36,18.8
6,08:30,36,19.2
7,08:35,31,20.0
8,08:40,31,19.9
9,08:45,31,20.3
10,08:50,31,20.5
11,08:55,31,19.8
12,09:00,31,19.3
13,09:05,31,19.4
14,09:10,31,18.4
15,09:15,31,18.6
16,09:20,31,17.7
17,09:25,49,19.0
18,09:30,49,19.0
19,09:35,49,18.8
20,09:40,49,18.6
21,09:45,49,18.2
22,09:50,49,18.6
23,09:55,49,18.9
24,10:00,49,18.8
25,10:05,49,18.8
26,10:10,17,19.3
27,10:15,17,18.8
28,10:20,17,17.7
29,10:25,17,17.4
30,10:30,17,16.9
31,10:35,17,17.8
32,10:40,17,18.0
33,10:45,17,18.6
34,10:50,17,19.2
35,10:55,40,18.7
36,11:00,40,18.4
37,11:05,40,18.0
38,11:10,39,18.9
39,11:15,39,19.0
40,11:20,10,18.9
41,11:25,10,19.0
42,11:30,10,19.2
43,11:35,10,19.6
44,11:40,10,19.2
45,11:45,10,19.1
46,11:50,10,19.7
47,11:55,10,20.0
48,12:00,27,20.4
49,12:05,27,19.5
50,12:10,27,19.9
51,12:15,27,19.4
52,12:20,27,19.0
53,12:25,27,19.2
54,12:30,27,18.8
55,12:35,27,19.5
56,12:40,27,20.2
57,12:45,27,19.9
58,12:50,31,19.9
59,12:55,31,20.0
60,13:00,31,20.2
61,13:05,31,20.4
62,13:10,31,20.3
63,13:15,23,20.9
64,13:20,23,20.8
65,13:25,23,20.8
66,13:30,23,21.4
67,13:35,23,22.4
68,13:40,23,23.1
69,13:45,23,22.9
70,13:50,23,23.9
71,13:55,23,24.1
72,14:00,36,24.3
73,14:05,36,24.8
74,14:10,36,25.0
75,14:15,36,24.9
76,14:20,36,24.6
77,14:25,36,23.9
78,14:30,36,23.9
79,14:35,36,23.9
80,14:40,35,23.2
81,14:45,35,23.3
82,14:50,35,22.9
83,14:55,35,23.6
84,15:00,35,22.5
85,15:05,35,21.6
86,15:10,6,21.3
87,15:15,6,21.6
88,15:20,6,21.5
89,15:25,40,21.0
90,15:30,40,21.8
91,15:35,40,21.7
92,15:40,43,21.9
93,15:45,43,22.0
94,15:50,43,22.4
95,15:55,43,22.0
96,16:00,43,21.9
97,16:05,43,21.3
98,16:10,43,21.1
99,16:15,43,20.8
100,16:20,5,20.7
101,16:25,5,20.3
102,16:30,5,20.5
103,16:35,5,20.3
104,16:40,5,20.2
105,16:45,5,19.8
106,16:50,5,19.8
107,16:55,5,20.2
108,17:00,5,20.5
109,17:05,5,20.3
110,17:10,3,20.3
111,17:15,3,19.8
112,17:20,3,19.7
113,17:25,3,19.7
114,17:30,3,19.9
115,17:35,3,20.4
116,17:40,3,20.4
117,17:45,31,20.2
118,17:50,31,19.5
119,17:55,31,20.1
120,18:00,15,19.4
