step,time,#people,temp_out
0,08:00,30,10.4
1,08:05,30,10.5
2,08:10,30,9.5
3,08:15,30,9.3
4,08:20,15,9.4
5,08:25,15,9.8
6,08:30,15,10.9
7,08:35,15,11.1
8,08:40,6,11.5
9,08:45,6,11.8
10,08:50,6,11.5
11,08:55,0,10.8
12,09:00,0,10.5
13,09:05,0,10.7
14,09:10,0,10.8
15,09:15,36,10.5
16,09:20,36,10.5
17,09:25,13,10.2
18,09:30,13,10.9
19,09:35,13,11.5
20,09:40,17,11.6
21,09:45,17,11.9
22,09:50,17,11.4
23,09:55,17,11.1
24,10:00,17,10.0
25,10:05,17,10.0
26,10:10,17,9.8
27,10:15,41,9.8
28,10:20,41,10.4
29,10:25,41,11.1
30,10:30,41,11.5
31,10:35,41,11.7
32,10:40,41,12.2
33,10:45,41,12.2
34,10:50,41,12.1
35,10:55,41,11.7
36,11:00,41,11.6
37,11:05,20,11.7
38,11:10,20,11.4
39,11:15,20,11.5
40,11:20,20,11.6
41,11:25,20,11.0
42,11:30,49,10.5
43,11:35,49,11.4
44,11:40,9,11.4
45,11:45,9,11.0
46,11:50,9,11.0
47,11:55,9,10.2
48,12:00,9,10.9
49,12:05,9,12.1
50,12:10,36,12.2
51,12:15,36,11.6
52,12:20,36,11.7
53,12:25,36,11.8
54,12:30,36,11.6
55,12:35,36,11.2
56,12:40,36,10.8
57,12:45,36,10.8
58,12:50,18,10.4
59,12:55,18,10.5
60,13:00,18,10.1
61,13:05,18,10.5
62,13:10,18,10.8
63,13:15,18,11.0
64,13:20,18,11.1
65,13:25,18,11.4
66,13:30,18,12.3
67,13:35,18,11.7
68,13:40,40,11.5
69,13:45,40,11.2
70,13:50,40,10.9
71,13:55,43,10.9
72,14:00,43,11.1
73,14:05,43,11.1
74,14:10,43,10.8
75,14:15,43,11.8
76,14:20,20,12.3
77,14:25,20,12.6
78,14:30,20,12.1
79,14:35,20,11.6
80,14:40,20,11.1
81,14:45,20,11.6
82,14:50,20,11.7
83,14:55,20,11.4
84,15:00,20,11.8
85,15:05,32,12.3
86,15:10,32,11.5
87,15:15,32,10.8
88,15:20,24,11.1
89,15:25,24,10.9
90,15:30,24,9.9
91,15:35,24,9.9
92,15:40,25,10.1
93,15:45,25,10.3
94,15:50,25,9.7
95,15:55,25,8.5
96,16:00,25,8.5
97,16:05,25,7.9
98,16:10,21,7.8
99,16:15,21,7.7
100,16:20,21,8.0
101,16:25,21,6.5
102,16:30,21,6.4
103,16:35,21,6.6
104,16:40,21,6.6
105,16:45,21,5.7
106,16:50,10,5.1
107,16:55,10,4.8
108,17:00,10,5.2
109,17:05,10,4.8
110,17:10,10,5.0
111,17:15,10,5.4
112,17:20,10,5.4
113,17:25,10,5.3
114,17:30,10,5.9
115,17:35,10,6.3
116,17:40,48,6.8
117,17:45,48,6.6
118,17:50,48,6.4
119,17:55,48,7.2
120,18:00,48,8.4
