step,time,#people,temp_out
0,08:00,18,12.8
1,08:05,18,12.8
2,08:10,18,13.2
3,08:15,18,13.9
4,08:20,18,13.6
5,08:25,18,14.0
6,08:30,18,14.9
7,08:35,16,15.1
8,08:40,16,15.0
9,08:45,16,14.8
10,08:50,25,14.1
11,08:55,25,14.2
12,09:00,39,13.9
13,09:05,39,13.6
14,09:10,39,13.5
15,09:15,39,13.3
16,09:20,39,13.2
17,09:25,39,13.6
18,09:30,44,13.5
19,09:35,44,13.1
20,09:40,44,13.0
21,09:45,44,12.1
22,09:50,44,11.4
23,09:55,44,10.7
24,10:00,44,11.5
25,10:05,44,11.0
26,10:10,7,10.9
27,10:15,7,11.0
28,10:20,12,10.8
29,10:25,12,11.4
30,10:30,12,10.8
31,10:35,12,11.3
32,10:40,12,10.8
33,10:45,12,11.2
34,10:50,12,11.5
35,10:55,12,12.2
36,11:00,28,12.5
37,11:05,28,12.3
38,11:10,28,12.0
39,11:15,28,11.1
40,11:20,28,11.2
41,11:25,28,10.5
42,11:30,28,11.0
43,11:35,28,11.0
44,11:40,28,10.6
45,11:45,31,10.3
46,11:50,31,10.0
47,11:55,25,9.8
48,12:00,25,10.0
49,12:05,11,10.6
50,12:10,11,10.7
51,12:15,48,10.6
52,12:20,48,10.5
53,12:25,48,9.9
54,12:30,48,9.6
55,12:35,48,9.5
56,12:40,48,8.9
57,12:45,48,8.6
58,12:50,48,8.9
59,12:55,7,9.0
60,13:00,7,8.8
61,13:05,7,8.4
62,13:10,7,8.9
63,13:15,7,9.4
64,13:20,7,9.5
65,13:25,7,9.3
66,13:30,28,9.3
67,13:35,28,8.7
68,13:40,28,8.9
69,13:45,28,7.9
70,13:50,28,8.4
71,13:55,10,7.9
72,14:00,10,8.1
73,14:05,10,7.6
74,14:10,4,7.6
75,14:15,4,7.2
76,14:20,4,6.2
77,14:25,4,5.6
78,14:30,4,5.6
79,14:35,4,5.4
80,14:40,4,5.6
81,14:45,49,6.2
82,14:50,49,6.7
83,14:55,49,6.3
84,15:00,49,6.1
85,15:05,49,6.6
86,15:10,49,6.7
87,15:15,49,7.6
88,15:20,49,6.9
89,15:25,49,7.0
90,15:30,49,7.3
91,15:35,14,7.4
92,15:40,14,7.7
93,15:45,14,7.9
94,15:50,14,7.2
95,15:55,14,8.3
96,16:00,14,7.6
97,16:05,14,7.2
98,16:10,18,7.7
99,16:15,18,7.2
100,16:20,18,6.6
101,16:25,18,5.9
102,16:30,18,5.0
103,16:35,18,4.8
104,16:40,18,4.6
105,16:45,18,4.6
106,16:50,10,3.7
107,16:55,10,3.7
108,17:00,10,4.6
109,17:05,10,4.5
110,17:10,10,3.7
111,17:15,10,3.3
112,17:20,10,3.2
113,17:25,16,2.8
114,17:30,16,2.9
115,17:35,16,3.3
116,17:40,16,3.0
117,17:45,16,1.9
118,17:50,44,1.5
119,17:55,44,1.8
120,18:00,44,1.7
